id,fldNpdidFi,wlbNpdidWe,fldName,fldCurrent,wlbName,fldDiscove,fldFactPag,fldFactMap,fldOwnerKi,fldOwnerNa,cmpLongNam,wlbFactPag,fldHcType,fldMainAre,cmpNpdidCo,fldNpdidOw,fldDateUpd,fldDateU_1,fldMainSup,Shape_Leng,Shape_Area
60,1630514,1024,MIKKEL,Producing,03/06/6407,1987,https://factpages.npd.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=1630514,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=1630514,BUSINESS ARRANGEMENT AREA,MIKKEL UNIT,Equinor Energy AS,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=1024,GAS/CONDENSATE,Norwegian Sea,32011216,1629477,00:00.0,00:00.0,Kristiansund,32735.21501,20827850.22
46,43792,42,MIME,Shut down,07/11/2005,1982,https://factpages.npd.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43792,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=43792,PRODUCTION LICENSE,907,Aker BP ASA,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=42,OIL,North Sea,28544099,30674106,00:00.0,00:00.0,,9344.479411,5818653.066
80,4966234,3322,MORVIN,Producing,07/11/6506,2001,https://factpages.npd.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=4966234,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=4966234,PRODUCTION LICENSE,134 B,Equinor Energy AS,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=3322,OIL/GAS,Norwegian Sea,32011216,1025257,00:00.0,00:00.0,Kristiansund,28381.71007,37733274.54
31,43665,0,MURCHISON,Shut down,?,1975,https://factpages.npd.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43665,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=43665,,,,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=0,OIL,North Sea,,,00:00.0,00:00.0,"Peterhead, Skottland",20844.55245,19143490
40,43751,474,NJORD,Producing,6407/7-1 S,1986,https://factpages.npd.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43751,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=43751,BUSINESS ARRANGEMENT AREA,NJORD UNIT,Equinor Energy AS,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=474,OIL,Norwegian Sea,32011216,40585,00:00.0,00:00.0,Kristiansund,44426.84494,30878647.05
18,43568,350,NORDØST FRIGG,Shut down,25/01/2004,1974,https://factpages.npd.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43568,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=43568,PRODUCTION LICENSE,903,Equinor Energy AS,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=350,GAS,North Sea,32011216,28974935,00:00.0,00:00.0,,22741.92398,17105220.84
44,43778,1782,NORNE,Producing,02/10/6608,1992,https://factpages.npd.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43778,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=43778,BUSINESS ARRANGEMENT AREA,NORNE INSIDE,Equinor Energy AS,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=1782,OIL/GAS,Norwegian Sea,32011216,40672,00:00.0,00:00.0,Sandnessj├╕en,27475.40875,14716407
121,33197696,6776,NOVA,Approved for production,35/9-7,2012,https://factpages.npd.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=33197696,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=33197696,PRODUCTION LICENSE,418,Wintershall Dea Norge AS,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=6776,OIL,North Sea,35318843,4238348,00:00.0,00:00.0,Flor├╕,33024.32296,28428752.09
116,29412516,6630,ODA,Producing,8/10-4 S,2011,https://factpages.npd.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=29412516,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=29412516,PRODUCTION LICENSE,405,Spirit Energy Norway AS,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=6630,OIL,North Sea,33342085,4237284,00:00.0,00:00.0,,6864.992149,2420914.003
24,43610,392,ODIN,Shut down,30/10/2002,1974,https://factpages.npd.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43610,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=43610,PRODUCTION LICENSE,903,Equinor Energy AS,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=392,GAS,North Sea,32011216,28974935,00:00.0,00:00.0,,31534.81082,28211493.22
64,2762452,3144,ORMEN LANGE,Producing,01/05/6305,1997,https://factpages.npd.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=2762452,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=2762452,BUSINESS ARRANGEMENT AREA,ORMEN LANGE UNIT,A/S Norske Shell,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=3144,GAS,Norwegian Sea,562,2588637,00:00.0,00:00.0,Kristiansund,131928.4428,351884873.6
26,43625,380,OSEBERG,Producing,30/06/2001,1979,https://factpages.npd.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43625,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=43625,BUSINESS ARRANGEMENT AREA,OSEBERG AREA UNIT,Equinor Energy AS,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=380,OIL/GAS,North Sea,32011216,3500071,00:00.0,00:00.0,Mongstad,183394.0767,177995712.6
