FIELDNAME,YEAR,OIL,GAS,NGL,COND,OE,WATER,NPDID
IVAR AASEN,2020,2.391,0.365,0.141,0,2.897,2.362,23384520
JETTE,2013,0.219,0.005,0,0,0.224,0.035,21613906
JETTE,2014,0.103,0,0,0,0.104,0.344,21613906
JETTE,2015,0.054,0,0,0,0.054,0.354,21613906
JETTE,2016,0.052,0,0,0,0.052,0.343,21613906
JOHAN SVERDRUP,2019,3.724,0.134,0.136,0,3.994,0.003,26376286
JOHAN SVERDRUP,2020,19.73,0.679,0.644,0,21.053,0.017,26376286
JOTUN,1999,0.863,0.012,0,0,0.876,0.002,43604
JOTUN,2000,7.166,0.313,0,0,7.479,0.821,43604
JOTUN,2001,5.48,0.206,0,0,5.685,4.508,43604
JOTUN,2002,2.587,0.068,0,0,2.655,6.84,43604
JOTUN,2003,2.235,0.048,0,0,2.283,7.401,43604
JOTUN,2004,1.103,0.037,0,0,1.14,7.905,43604
JOTUN,2005,0.764,0.051,0,0,0.815,8.101,43604
JOTUN,2006,0.665,0.051,0,0,0.717,7.578,43604
JOTUN,2007,0.515,0.045,0,0,0.559,6.693,43604
JOTUN,2008,0.384,0.022,0,0,0.406,6.085,43604
JOTUN,2009,0.312,0.014,0,0,0.326,5.531,43604
JOTUN,2010,0.254,0.007,0,0,0.261,5.373,43604
JOTUN,2011,0.213,0.005,0,0,0.218,5.138,43604
JOTUN,2012,0.174,0.001,0,0,0.174,4.83,43604
JOTUN,2013,0.151,0.004,0,0,0.154,4.481,43604
JOTUN,2014,0.116,0,0,0,0.117,3.8,43604
JOTUN,2015,0.092,0.001,0,0,0.093,2.689,43604
JOTUN,2016,0.062,0,0,0,0.062,2.283,43604
KNARR,2015,1.268,0.041,0.122,0,1.432,0.023,20460988
KNARR,2016,2.734,0.142,0.48,0,3.355,0.281,20460988
KNARR,2017,2.285,0.11,0.373,0,2.768,1.152,20460988
KNARR,2018,1.005,0.035,0.129,0,1.169,1.836,20460988
KNARR,2019,0.699,0.024,0.076,0,0.799,2.422,20460988
KNARR,2020,0.72,0.027,0.083,0,0.83,1.922,20460988
KRISTIN,2005,0,0.19,0.076,0.195,0.46,0.005,1854729
KRISTIN,2006,1.07,2.61,1.119,1.902,6.7,0.078,1854729
KRISTIN,2007,4.278,3.69,1.578,0,9.546,0.213,1854729
KRISTIN,2008,4.398,3.94,1.625,0,9.963,0.667,1854729
KRISTIN,2009,2.864,2.828,1.178,0,6.87,0.702,1854729
KRISTIN,2010,1.75,2.146,0.903,0,4.8,0.892,1854729
KRISTIN,2011,1.411,1.981,0.891,0,4.283,1.231,1854729
KRISTIN,2012,1.139,1.644,0.698,0,3.482,1.132,1854729
KRISTIN,2013,0.799,1.071,0.378,0,2.248,0.765,1854729
KRISTIN,2014,0.885,1.317,0.457,0,2.66,0.673,1854729
KRISTIN,2015,0.766,1.212,0.592,0,2.57,0.674,1854729
KRISTIN,2016,0.606,0.99,0.403,0,1.999,0.785,1854729
KRISTIN,2017,0.574,1.013,0.439,0,2.026,0.875,1854729
KRISTIN,2018,0.541,0.905,0.406,0,1.852,0.807,1854729
KRISTIN,2019,0.451,0.797,0.312,0,1.559,0.474,1854729
KRISTIN,2020,0.318,0.565,0.25,0,1.133,0.291,1854729
KVITEBJØRN,2004,0.281,0.558,0.034,0,0.873,0.014,1036101
KVITEBJØRN,2005,2.187,4.34,0.59,0,7.117,0.072,1036101
KVITEBJØRN,2006,2.837,5.62,0.81,0,9.267,0.088,1036101
KVITEBJØRN,2007,0.548,1.083,0.14,0,1.771,0.018,1036101
KVITEBJØRN,2008,1.448,3.003,0.453,0,4.904,0.062,1036101
KVITEBJØRN,2009,2.349,5.081,0.808,0,8.237,0.172,1036101
KVITEBJØRN,2010,2.711,6.115,0.775,0,9.6,0.226,1036101
KVITEBJØRN,2011,2.628,6.518,0.829,0,9.974,0.202,1036101
KVITEBJØRN,2012,2.483,6.979,0.933,0,10.396,0.135,1036101
KVITEBJØRN,2013,2.102,6.866,0.991,0,9.959,0.159,1036101
KVITEBJØRN,2014,1.982,6.769,0.979,0,9.73,0.179,1036101
KVITEBJØRN,2015,1.912,6.822,0.672,0,9.406,0.208,1036101
KVITEBJØRN,2016,1.775,6.888,0.707,0,9.37,0.194,1036101
KVITEBJØRN,2017,1.294,6.109,0.621,0,8.024,0.185,1036101
KVITEBJØRN,2018,1.078,5.23,0.525,0,6.833,0.212,1036101
KVITEBJØRN,2019,0.79,4.519,0.437,0,5.746,0.245,1036101
KVITEBJØRN,2020,0.568,3.505,0.373,0,4.445,0.145,1036101
LILLE-FRIGG,1994,0.388,0.584,0,0.003,0.976,0,43583
LILLE-FRIGG,1995,0.437,0.609,0,0.003,1.049,0,43583
LILLE-FRIGG,1996,0.283,0.532,0,0.006,0.822,0,43583
LILLE-FRIGG,1997,0.132,0.271,0,0.003,0.407,0,43583
LILLE-FRIGG,1998,0.071,0.149,0,0.004,0.223,0,43583
LILLE-FRIGG,1999,0.013,0.041,0,0,0.054,0,43583
LILLE-FRIGG,2000,0.002,0,0,0,0.002,0,43583
LILLE-FRIGG,2001,0,0,0,0,0,0,43583
MARIA,2018,1.052,0,0,0,1.052,0.01,26465170
MARIA,2019,0.44,0,0,0,0.44,0.001,26465170
MARIA,2020,0.527,0,0,0,0.527,0,26465170
MARULK,2012,0.05,0.541,0.092,0,0.683,0.004,18212090
MARULK,2013,0.026,0.271,0.048,0,0.345,0.001,18212090
MARULK,2014,0.104,1.139,0.2,0,1.443,0.002,18212090
MARULK,2015,0.104,1.288,0.227,0,1.619,0.001,18212090
MARULK,2016,0.075,1.093,0.191,0,1.359,0.005,18212090
MARULK,2017,0.058,0.992,0.163,0,1.213,0.012,18212090
MARULK,2018,0.027,0.576,0.1,0,0.703,0.014,18212090
MARULK,2019,0.027,0.426,0.076,0,0.529,0.011,18212090
MARULK,2020,0.062,0.487,0.079,0,0.629,0.006,18212090
MIKKEL,2003,0,0.463,0.195,0.229,0.887,0.002,1630514
MIKKEL,2004,0,1.651,0.857,0.732,3.24,0.007,1630514
MIKKEL,2005,0,1.738,0.914,0.76,3.412,0.008,1630514
MIKKEL,2006,0.169,1.613,0.881,0.532,3.194,0.006,1630514
MIKKEL,2007,0.74,1.85,1,0,3.59,0.007,1630514
MIKKEL,2008,0.59,1.506,0.793,0,2.889,0.006,1630514
MIKKEL,2009,0.515,1.781,0.926,0,3.222,0.006,1630514
MIKKEL,2010,0.458,1.694,0.904,0,3.056,0.006,1630514
MIKKEL,2011,0.414,1.672,0.903,0,2.989,0.006,1630514
MIKKEL,2012,0.37,1.615,0.868,0,2.854,0.006,1630514
MIKKEL,2013,0.276,1.295,0.672,0,2.242,0.003,1630514
MIKKEL,2014,0.241,1.216,0.633,0,2.09,0.003,1630514
MIKKEL,2015,0.22,1.107,0.581,0,1.907,0.014,1630514
MIKKEL,2016,0.273,1.383,0.694,0,2.35,0.018,1630514
MIKKEL,2017,0.327,1.646,0.772,0,2.745,0.021,1630514
MIKKEL,2018,0.258,1.692,0.839,0,2.788,0.011,1630514
MIKKEL,2019,0.243,1.318,0.652,0,2.213,0.013,1630514
MIKKEL,2020,0.176,1.11,0.548,0,1.834,0.016,1630514
MIME,1990,0.026,0.006,0.002,0,0.034,0,43792
MIME,1991,0.162,0.037,0.011,0,0.21,0,43792
MIME,1992,0.122,0.028,0.008,0,0.157,0,43792
MIME,1993,0.064,0.015,0.004,0,0.083,0,43792
MORVIN,2010,0.407,0,0,0,0.407,0,4966234
MORVIN,2011,1.558,0,0,0,1.558,0,4966234
MORVIN,2012,1.711,0.207,0.083,0,2.001,0,4966234
MORVIN,2013,1.302,0.967,0.372,0,2.641,0,4966234
MORVIN,2014,0.964,0.76,0.355,0,2.079,0,4966234
MORVIN,2015,0.667,0.529,0.27,0,1.466,0.003,4966234
MORVIN,2016,0.514,0.381,0.178,0,1.073,0.008,4966234
MORVIN,2017,0.46,0.255,0.113,0,0.828,0.026,4966234
MORVIN,2018,0.466,0.286,0.132,0,0.884,0.046,4966234
MORVIN,2019,0.397,0.37,0.16,0,0.927,0.04,4966234
MORVIN,2020,0.231,0.272,0.113,0,0.616,0.019,4966234
MURCHISON,1981,0.72,0,0,0,0.72,0,43665
MURCHISON,1982,1.052,0,0,0,1.052,0,43665
MURCHISON,1983,1.054,0.019,0.049,0,1.121,0,43665
MURCHISON,1984,2.863,0.081,0.195,0,3.139,0,43665
MURCHISON,1985,1.696,0.055,0.139,0,1.89,0,43665
MURCHISON,1986,0.893,0.046,0.082,0,1.022,0,43665
MURCHISON,1987,0.344,0.024,0.024,0,0.392,0,43665
MURCHISON,1988,0.523,0.024,0.019,0,0.566,0,43665
MURCHISON,1989,0.485,0.017,0.016,0,0.518,0,43665
MURCHISON,1990,0.481,0.008,0.013,0,0.501,0,43665
MURCHISON,1991,0.394,0.011,0.01,0,0.416,0,43665
MURCHISON,1992,0.469,0.018,0.015,0,0.502,0,43665
MURCHISON,1993,0.289,0.009,0.007,0,0.306,0,43665
MURCHISON,1994,0.23,0.004,0.005,0,0.239,0,43665
MURCHISON,1995,0.203,0.004,0.005,0,0.212,0,43665
MURCHISON,1996,0.236,0.006,0.005,0,0.247,0,43665
MURCHISON,1997,0.28,0.011,0.01,0,0.302,0,43665
MURCHISON,1998,0.269,0.006,0.007,0,0.282,0,43665
MURCHISON,1999,0.252,0.004,0.005,0,0.261,0,43665
MURCHISON,2000,0.168,0.001,0.005,0,0.173,2.25,43665
MURCHISON,2001,0.09,0,0,0,0.09,2.161,43665
MURCHISON,2002,0.105,0,0.001,0,0.106,2.136,43665
MURCHISON,2003,0.114,0,0.003,0,0.117,2.337,43665
MURCHISON,2004,0.09,0,0.001,0,0.092,2.258,43665
MURCHISON,2005,0.082,0,0,0,0.082,2.189,43665
MURCHISON,2006,0.088,0,0.002,0,0.09,2.378,43665
MURCHISON,2007,0.078,0,0,0,0.078,2.162,43665
MURCHISON,2008,0.075,0,0.001,0,0.076,2.153,43665
MURCHISON,2009,0.068,0,0.001,0,0.069,2.396,43665
MURCHISON,2010,0.046,0,-0.001,0,0.045,1.826,43665
MURCHISON,2011,0.05,0,0,0,0.05,1.918,43665
MURCHISON,2012,0.044,0,0,0,0.044,1.959,43665
MURCHISON,2013,0.028,0,0,0,0.028,1.32,43665
MURCHISON,2014,0.003,0,0,0,0.003,0.103,43665
NJORD,1997,0.367,0,0,0,0.367,0,43751
NJORD,1998,1.696,0,0,0,1.696,0,43751
NJORD,1999,3.523,0,0,0,3.523,0,43751
NJORD,2000,3.921,0,0,0,3.921,0.062,43751
NJORD,2001,2.937,0,0,0,2.937,0.124,43751
NJORD,2002,1.863,0,0,0,1.863,0.103,43751
NJORD,2003,1.764,0,0,0,1.764,0.144,43751
NJORD,2004,1.689,0,0,0,1.689,0.07,43751
NJORD,2005,1.83,0,0,0,1.83,0.08,43751
NJORD,2006,1.392,0,0,0,1.392,0.161,43751
NJORD,2007,1.053,0.075,0.034,0,1.162,0.094,43751
NJORD,2008,0.947,1.997,0.905,0,3.849,0.086,43751
NJORD,2009,0.743,1.824,0.84,0,3.407,0.189,43751
NJORD,2010,0.961,1.777,0.798,0,3.537,0.142,43751
NJORD,2011,0.541,1.384,0.614,0,2.539,0.04,43751
NJORD,2012,0.317,0.756,0.329,0,1.402,0.023,43751
NJORD,2013,0.27,0.542,0.218,0,1.03,0.033,43751
NJORD,2014,0.37,0.61,0.275,0,1.254,0.044,43751
NJORD,2015,0.383,0.964,0.422,0,1.768,0.058,43751
NJORD,2016,0.095,0.2,0.091,0,0.387,0.02,43751
NORDØST FRIGG,1983,0,0.058,0,0,0.058,0,43568
NORDØST FRIGG,1984,0,1.727,0,0.013,1.74,0,43568
NORDØST FRIGG,1985,0,2.228,0,0.013,2.241,0,43568
NORDØST FRIGG,1986,0,1.609,0,0.006,1.615,0,43568
NORDØST FRIGG,1987,0,1.143,0,0.005,1.148,0,43568
NORDØST FRIGG,1988,0,1.121,0,0.007,1.128,0,43568
NORDØST FRIGG,1989,0,1.123,0,0.008,1.131,0,43568
NORDØST FRIGG,1990,0,1.224,0,0.012,1.235,0,43568
NORDØST FRIGG,1991,0,0.797,0,0.008,0.805,0,43568
NORDØST FRIGG,1992,0,0.486,0,0.006,0.492,0,43568
NORDØST FRIGG,1993,0,0.079,0,0.001,0.08,0,43568
NORNE,1997,0.415,0,0,0,0.415,0,43778
NORNE,1998,6.316,0,0,0,6.316,0,43778
NORNE,1999,8.305,0,0,0,8.305,0,43778
NORNE,2000,10.42,0,0,0,10.42,0.139,43778
NORNE,2001,11.297,1.085,0.208,0,12.591,0.303,43778
NORNE,2002,10.27,0.79,0.146,0,11.205,1.056,43778
NORNE,2003,8.552,0.756,0.181,0,9.489,1.856,43778
NORNE,2004,7.008,0.956,0.205,0,8.169,2.473,43778
NORNE,2005,5.267,0.946,0.208,0,6.42,4.953,43778
NORNE,2006,4.849,0.435,0.114,0,5.398,5.463,43778
NORNE,2007,4.274,0.51,0.135,0,4.919,5.854,43778
NORNE,2008,3.482,0.343,0.092,0,3.916,6.45,43778
NORNE,2009,2.214,0.18,0.048,0,2.443,6.399,43778
NORNE,2010,1.931,0.169,0.046,0,2.146,6.467,43778
NORNE,2011,1.615,0.257,0.072,0,1.944,8.107,43778
NORNE,2012,0.743,0.158,0.044,0,0.946,6.123,43778
NORNE,2013,0.802,0.122,0.037,0,0.961,5.681,43778
NORNE,2014,0.706,0.119,0.044,0,0.868,8.085,43778
NORNE,2015,0.631,0.184,0.062,0,0.877,7.865,43778
NORNE,2016,0.43,0.129,0.033,0,0.592,5.905,43778
NORNE,2017,0.57,0.11,0.03,0,0.71,7.226,43778
NORNE,2018,0.615,0.184,0.037,0,0.836,7.458,43778
NORNE,2019,0.433,0.712,0.128,0,1.273,5.92,43778
NORNE,2020,0.426,0.777,0.128,0,1.33,5.518,43778
ODA,2019,0.651,0,0.014,0,0.665,0,29412516
ODA,2020,1.098,0,0.022,0,1.12,0.026,29412516
ODIN,1984,0,1.515,0,0.016,1.532,0,43610
ODIN,1985,0,3.549,0,0.028,3.577,0,43610
ODIN,1986,0,3.371,0,0.021,3.392,0,43610
ODIN,1987,0,3.475,0,0.021,3.496,0,43610
ODIN,1988,0,2.729,0,0.015,2.744,0,43610
ODIN,1989,0,2.827,0,0.019,2.846,0,43610
ODIN,1990,0,2.625,0,0.02,2.645,0,43610
ODIN,1991,0,2.81,0,0.03,2.84,0,43610
ODIN,1992,0,2.289,0,0.023,2.312,0,43610
ODIN,1993,0,1.503,0,0.016,1.52,0,43610
ODIN,1994,0,0.565,0,0.007,0.572,0,43610
ORMEN LANGE,2007,0,1.67,0,0.135,1.805,0.002,2762452
ORMEN LANGE,2008,0,11.437,0,0.967,12.405,0,2762452
ORMEN LANGE,2009,0,20.782,0,1.646,22.427,0,2762452
ORMEN LANGE,2010,0,20.851,0,1.529,22.38,0,2762452
ORMEN LANGE,2011,0,21.739,0,1.654,23.393,0,2762452
ORMEN LANGE,2012,0,22.203,0,1.734,23.937,0,2762452
ORMEN LANGE,2013,0,21.451,0,1.524,22.975,0,2762452
ORMEN LANGE,2014,0,20.21,0,1.364,21.573,0,2762452
ORMEN LANGE,2015,0,16.791,0,1.067,17.858,0,2762452
ORMEN LANGE,2016,0,17.254,0,1.056,18.309,0,2762452
ORMEN LANGE,2017,0,16.236,0,0.92,17.156,0,2762452
ORMEN LANGE,2018,0,15.675,0,0.832,16.506,0,2762452
ORMEN LANGE,2019,0,12.632,0,0.661,13.293,0,2762452
ORMEN LANGE,2020,0,9.93,0,0.501,10.431,0,2762452
OSEBERG,1986,0.291,0,0,0,0.291,0,43625
OSEBERG,1987,0.808,0,0,0,0.808,0,43625
OSEBERG,1988,1.126,0,0,0,1.126,0,43625
OSEBERG,1989,13.514,0,0,0,13.514,0,43625
OSEBERG,1990,17.309,0,0,0,17.309,0,43625
OSEBERG,1991,20.916,0,0,0,20.916,0,43625
OSEBERG,1992,26.104,0,0,0,26.104,0,43625
OSEBERG,1993,28.463,0,0,0,28.463,0,43625
OSEBERG,1994,29.212,0,0,0,29.212,0,43625
OSEBERG,1995,28.985,0,0,0,28.985,0,43625
OSEBERG,1996,29.126,0,0,0,29.126,0,43625
OSEBERG,1997,27.268,0,0,0,27.268,0,43625
OSEBERG,1998,24.102,0,0,0,24.102,0,43625
OSEBERG,1999,19.435,0,0,0,19.435,0,43625
OSEBERG,2000,15.411,1.403,0.63,0,17.444,3.047,43625
OSEBERG,2001,10.97,3.797,0.955,0,15.722,2.155,43625
OSEBERG,2002,10.113,2.798,1.019,0,13.929,1.742,43625
OSEBERG,2003,9.175,1.239,1.025,0,11.439,2.305,43625
OSEBERG,2004,8.714,2.423,1.184,0,12.321,2.537,43625
OSEBERG,2005,7.467,2.821,1.165,0,11.452,2.982,43625
OSEBERG,2006,6.262,3.37,1.255,0,10.887,2.802,43625
OSEBERG,2007,5.164,1.548,1.303,0,8.014,2.415,43625
OSEBERG,2008,5.293,3.818,1.179,0,10.29,2.395,43625
OSEBERG,2009,5.125,2.38,1.075,0,8.58,2.715,43625
OSEBERG,2010,4.309,3.103,0.959,0,8.371,2.915,43625
OSEBERG,2011,3.914,1.53,1.199,0,6.643,2.118,43625
OSEBERG,2012,3.311,4.569,1.176,0,9.056,1.783,43625
OSEBERG,2013,2.999,3.69,1.198,0,7.886,1.76,43625
OSEBERG,2014,2.732,1.95,1.098,0,5.78,2.055,43625
OSEBERG,2015,3.036,2.695,1.12,0,6.851,2.947,43625
OSEBERG,2016,3.49,1.418,1.162,0,6.07,3.068,43625
OSEBERG,2017,3.49,3.463,1.178,0,8.13,3.585,43625
OSEBERG,2018,2.568,2.701,1.055,0,6.324,2.921,43625
OSEBERG,2019,3.321,3.12,1.077,0,7.518,2.432,43625
OSEBERG,2020,3.058,2.075,0.804,0,5.938,2.055,43625
OSEBERG SØR,2000,1.432,0,0,0,1.432,0.004,43645
OSEBERG SØR,2001,4.456,0,0,0,4.456,0.047,43645
OSEBERG SØR,2002,4.36,0.197,0,0,4.557,0.174,43645
OSEBERG SØR,2003,5.06,0.895,0,0,5.955,0.327,43645
OSEBERG SØR,2004,4.582,0.954,0,0,5.536,1.003,43645
OSEBERG SØR,2005,4.182,0.713,0,0,4.895,1.374,43645
OSEBERG SØR,2006,4.07,0.759,0,0,4.829,2.379,43645
OSEBERG SØR,2007,3.173,0.668,0,0,3.841,2.122,43645
OSEBERG SØR,2008,3.305,0.603,0,0,3.908,2.048,43645
OSEBERG SØR,2009,2.634,0.613,0,0,3.247,1.801,43645
OSEBERG SØR,2010,2.302,0.629,0,0,2.931,1.715,43645
OSEBERG SØR,2011,2.081,0.807,0,0,2.889,1.686,43645
OSEBERG SØR,2012,2.097,1.118,0,0,3.215,1.683,43645
OSEBERG SØR,2013,2.593,0.981,0,0,3.574,2.283,43645
OSEBERG SØR,2014,2.116,0.63,0,0,2.746,2.406,43645
OSEBERG SØR,2015,1.971,0.802,0,0,2.773,2.81,43645
OSEBERG SØR,2016,1.887,0.734,0,0,2.621,2.807,43645
OSEBERG SØR,2017,1.76,0.631,0,0,2.391,2.489,43645
OSEBERG SØR,2018,1.278,0.534,0,0,1.812,2.117,43645
OSEBERG SØR,2019,1.373,0.892,0,0,2.264,2.182,43645
OSEBERG SØR,2020,1.06,0.612,0,0,1.672,2.042,43645
OSEBERG ØST,1999,0.911,0,0,0,0.911,0,43639
OSEBERG ØST,2000,2.554,0,0,0,2.554,0.007,43639
OSEBERG ØST,2001,3.813,0,0,0,3.813,0.332,43639
OSEBERG ØST,2002,3.113,0.031,0,0,3.143,1.489,43639
OSEBERG ØST,2003,2.188,0.082,0,0,2.27,2.218,43639
OSEBERG ØST,2004,1.798,0.067,0,0,1.864,2.991,43639
OSEBERG ØST,2005,1.062,0.037,0,0,1.099,2.77,43639
OSEBERG ØST,2006,0.663,0.024,0,0,0.687,2.503,43639
OSEBERG ØST,2007,0.539,0.02,0,0,0.558,2.577,43639
OSEBERG ØST,2008,0.438,0.008,0,0,0.446,1.888,43639
OSEBERG ØST,2009,0.35,0.006,0,0,0.357,1.251,43639
OSEBERG ØST,2010,0.349,0.007,0,0,0.355,1.519,43639
OSEBERG ØST,2011,0.516,0.01,0,0,0.526,1.352,43639
OSEBERG ØST,2012,0.455,0.009,0,0,0.464,1.422,43639
OSEBERG ØST,2013,0.382,0.007,0,0,0.389,1.586,43639
OSEBERG ØST,2014,0.377,0.007,0,0,0.383,1.604,43639
OSEBERG ØST,2015,0.386,0.007,0,0,0.393,2.086,43639
OSEBERG ØST,2016,0.458,0.008,0,0,0.466,2.331,43639
OSEBERG ØST,2017,0.8,0.015,0,0,0.815,1.582,43639
OSEBERG ØST,2018,0.536,0.01,0,0,0.546,1.329,43639
OSEBERG ØST,2019,0.455,0.008,0,0,0.464,1.341,43639
OSEBERG ØST,2020,0.35,0.007,0,0,0.357,1.411,43639
OSELVAR,2012,0.151,0,0.007,0,0.158,0.004,5506919
OSELVAR,2013,0.15,0,0.007,0,0.157,0.003,5506919
OSELVAR,2014,0.126,0,0.007,0,0.133,0.005,5506919
OSELVAR,2015,0.09,0,0.006,0,0.096,0.005,5506919
OSELVAR,2016,0.074,0,0.005,0,0.079,0.005,5506919
OSELVAR,2017,0.07,0,0.005,0,0.075,0.005,5506919
OSELVAR,2018,0.016,0,0.001,0,0.017,0.002,5506919
REV,2009,0.24,0.628,0,0,0.869,0,4467554
REV,2010,0.291,1.129,0.019,0.025,1.464,0,4467554
REV,2011,0.084,0.481,0.033,0.02,0.617,0.006,4467554
REV,2012,0.057,0.296,0.022,0.012,0.387,0.007,4467554
REV,2013,0.025,0.063,0.008,0.003,0.098,0.012,4467554
REV,2014,0.021,0.036,0.004,0.001,0.062,0.009,4467554
REV,2015,0.014,0.018,0.002,0.001,0.035,0.005,4467554
REV,2016,0.005,0.006,0.002,0,0.013,0.003,4467554
REV,2017,0.008,0.017,0.002,0.001,0.028,0.005,4467554
REV,2018,0.002,0.004,0,0,0.007,0.002,4467554
REV,2019,0.002,0.007,0,0,0.01,0.001,4467554
RINGHORNE ØST,2006,0.934,0.031,0,0,0.965,0.034,3505505
RINGHORNE ØST,2007,1.622,0.025,0,0,1.646,0.048,3505505
RINGHORNE ØST,2008,1.979,0.035,0,0,2.015,0.163,3505505
RINGHORNE ØST,2009,1.603,0.043,0,0,1.647,0.757,3505505
RINGHORNE ØST,2010,1.094,0.031,0,0,1.125,0.995,3505505
RINGHORNE ØST,2011,0.945,0.028,0,0,0.973,1.051,3505505
RINGHORNE ØST,2012,0.922,0.023,0,0,0.946,1.119,3505505
RINGHORNE ØST,2013,0.865,0.01,0,0,0.875,1.181,3505505
RINGHORNE ØST,2014,0.702,0.012,0,0,0.714,1.134,3505505
RINGHORNE ØST,2015,0.634,0.015,0,0,0.649,1.215,3505505
RINGHORNE ØST,2016,0.518,0.012,0,0,0.53,1.296,3505505
RINGHORNE ØST,2017,0.439,0,0,0,0.439,1.209,3505505
RINGHORNE ØST,2018,0.277,0,0,0,0.277,1.37,3505505
RINGHORNE ØST,2019,0.28,0,0,0,0.28,1.427,3505505
RINGHORNE ØST,2020,0.161,0,0,0,0.161,0.976,3505505
SIGYN,2003,0,0.913,0.611,0.888,2.412,0.006,1630100
SIGYN,2004,0,0.836,0.66,0.901,2.397,0.022,1630100
SIGYN,2005,0,0.844,0.657,0.872,2.374,0.042,1630100
SIGYN,2006,0,0.716,0.501,0.646,1.863,0.078,1630100
SIGYN,2007,0,0.649,0.492,0.598,1.74,0.095,1630100
SIGYN,2008,0,0.546,0.438,0.508,1.492,0.122,1630100
SIGYN,2009,0,0.485,0.37,0.44,1.295,0.124,1630100
SIGYN,2010,0,0.411,0.256,0.342,1.009,0.119,1630100
SIGYN,2011,0,0.438,0.275,0.343,1.056,0.15,1630100
SIGYN,2012,0,0.335,0.224,0.275,0.834,0.115,1630100
SIGYN,2013,0,0.272,0.176,0.206,0.654,0.102,1630100
SIGYN,2014,0.034,0.178,0.074,0.021,0.307,0.069,1630100
SIGYN,2015,0.068,0.179,0.074,0,0.321,0.09,1630100
SIGYN,2016,0.217,0.182,0.131,0,0.53,0.056,1630100
SIGYN,2017,0.275,0.139,0.123,0,0.537,0.041,1630100
SIGYN,2018,0.068,0.087,0.047,0,0.202,0.05,1630100
SIGYN,2019,0.051,0.095,0.041,0,0.187,0.071,1630100
SIGYN,2020,0.045,0.064,0.029,0,0.137,0.056,1630100
SINDRE,2017,0.02,0,0,0,0.02,0,29401178
SINDRE,2018,0,0,0,0,0,0,29401178
SINDRE,2019,0.002,0,0,0,0.002,0,29401178
SKARV,2013,1.996,2.986,0.717,0,5.698,0.036,4704482
SKARV,2014,3.273,3.613,0.811,0,7.697,0.066,4704482
SKARV,2015,2.89,3.98,0.889,0,7.759,0.083,4704482
SKARV,2016,2.073,4.053,0.88,0,7.006,0.093,4704482
SKARV,2017,1.442,4.047,0.861,0,6.35,0.104,4704482
SKARV,2018,1.302,3.802,0.857,0,5.96,0.099,4704482
SKARV,2019,1.067,3.37,0.736,0,5.173,0.107,4704482
SKARV,2020,0.672,2.478,0.54,0,3.69,0.056,4704482
SKIRNE,2004,0.216,0.657,0,0,0.873,0,2138816
SKIRNE,2005,0.297,1.197,0,0,1.493,0,2138816
SKIRNE,2006,0.271,1.277,0,0,1.548,0,2138816
SKIRNE,2007,0.212,1.023,0,0,1.235,0,2138816
SKIRNE,2008,0.199,1.108,0,0,1.307,0,2138816
SKIRNE,2009,0.206,1.204,0,0,1.409,0,2138816
SKIRNE,2010,0.154,1.002,0,0,1.156,0,2138816
SKIRNE,2011,0.112,0.795,0,0,0.907,0,2138816
SKIRNE,2012,0.081,0.612,0,0,0.693,0,2138816
SKIRNE,2013,0.062,0.493,0,0,0.554,0,2138816
SKIRNE,2014,0.05,0.356,0,0,0.406,0,2138816
SKIRNE,2015,0.078,0.436,0,0,0.514,0,2138816
SKIRNE,2016,0.051,0.036,0,0,0.087,0.017,2138816
SKIRNE,2017,0.015,0.335,0,0,0.35,0.005,2138816
SKIRNE,2018,0.011,0.277,0,0,0.287,0.005,2138816
SKIRNE,2019,0.018,0.188,0,0,0.206,0.004,2138816
SKIRNE,2020,0.012,0.102,0,0,0.113,0.003,2138816
SKOGUL,2020,0.464,0.046,0,0,0.51,0.034,31164600
SKULD,2013,0.516,0.109,0.031,0,0.656,0.054,21350124
SKULD,2014,1.154,0.12,0.046,0,1.321,0.171,21350124
SKULD,2015,0.928,0.063,0.021,0,1.012,0.313,21350124
SKULD,2016,0.589,0.042,0.015,0,0.646,0.284,21350124
SKULD,2017,0.506,0.012,0.005,0,0.522,0.648,21350124
SKULD,2018,0.39,0,0.001,0,0.391,0.492,21350124
SKULD,2019,0.246,0,0,0,0.246,0.415,21350124
SKULD,2020,0.152,0,0,0,0.152,0.347,21350124
SLEIPNER VEST,1996,0,0,0.207,0.497,0.704,0,43457
SLEIPNER VEST,1997,0,0.442,0.78,2.262,3.485,0,43457
SLEIPNER VEST,1998,0,1.453,0.865,2.26,4.578,0,43457
SLEIPNER VEST,1999,0,3.1,1.084,2.379,6.563,0,43457
SLEIPNER VEST,2000,0,0,1.069,2.262,3.331,0.089,43457
SLEIPNER VEST,2001,0,0,1.363,2.15,3.514,0.113,43457
SLEIPNER VEST,2002,0,0,1.341,1.988,3.329,0.093,43457
SLEIPNER VEST,2003,0,0,1.078,1.792,2.87,0.122,43457
SLEIPNER VEST,2004,0,0,0.881,1.486,2.367,0.144,43457
SLEIPNER VEST,2005,0,0,0.914,1.778,2.692,0.16,43457
SLEIPNER VEST,2006,0,0,0.907,1.592,2.499,0.19,43457
SLEIPNER VEST,2007,0,0,0.879,1.599,2.477,0.215,43457
